,subject,parameter,value,IDs
8389,30,$\beta$,1.9842906,35
8390,31,$\beta$,1.960079,30
8391,32,$\beta$,1.5785345,31
8392,33,$\beta$,1.5671576,61
8393,34,$\beta$,2.2951164,47
8394,35,$\beta$,2.1317496,65
8395,36,$\beta$,1.7654496,52
8396,37,$\beta$,2.098323,62
8397,38,$\beta$,2.4140184,34
8398,39,$\beta$,1.631581,60
8399,40,$\beta$,1.9830908,38
8400,1,$\beta$,1.4752649,25
8401,2,$\beta$,2.4348285,32
8402,3,$\beta$,3.0615385,33
8403,4,$\beta$,2.8124223,27
8404,5,$\beta$,2.6976821,51
8405,6,$\beta$,4.39628,55
8406,7,$\beta$,3.2582135,63
8407,8,$\beta$,2.4253488,37
8408,9,$\beta$,1.6046797,50
8409,10,$\beta$,2.674629,42
8410,11,$\beta$,2.2631752,56
8411,12,$\beta$,2.4309397,49
8412,13,$\beta$,2.0428863,40
8413,14,$\beta$,1.2961688,54
8414,15,$\beta$,2.693746,66
8415,16,$\beta$,2.1237748,67
8416,17,$\beta$,2.1477225,46
8417,18,$\beta$,1.5785803,24
8418,19,$\beta$,2.4659607,23
8419,20,$\beta$,2.371576,43
8420,21,$\beta$,2.526475,64
8421,22,$\beta$,2.1404881,58
8422,23,$\beta$,2.1602416,48
8423,24,$\beta$,2.483278,29
8424,25,$\beta$,2.221928,45
8425,26,$\beta$,1.8632908,28
8426,27,$\beta$,2.1375635,39
8427,28,$\beta$,2.3006535,44
8428,29,$\beta$,2.5306892,57
8429,30,$\beta$,2.2899356,35
8430,31,$\beta$,2.365583,30
8431,32,$\beta$,1.7899265,31
8432,33,$\beta$,1.2201723,61
8433,34,$\beta$,2.3798144,47
8434,35,$\beta$,1.7478758,65
8435,36,$\beta$,1.8687532,52
8436,37,$\beta$,2.292378,62
8437,38,$\beta$,3.0605567,34
8438,39,$\beta$,1.7183447,60
8439,40,$\beta$,2.3825088,38
8440,1,$\beta$,1.738413,25
8441,2,$\beta$,2.7511814,32
8442,3,$\beta$,2.9117157,33
8443,4,$\beta$,2.7991712,27
8444,5,$\beta$,2.325134,51
8445,6,$\beta$,2.9045112,55
8446,7,$\beta$,3.1794617,63
8447,8,$\beta$,1.985156,37
8448,9,$\beta$,1.6652294,50
8449,10,$\beta$,2.1761909,42
8450,11,$\beta$,1.5641958,56
8451,12,$\beta$,2.2812197,49
8452,13,$\beta$,2.0359468,40
8453,14,$\beta$,1.3340261,54
8454,15,$\beta$,1.7431995,66
8455,16,$\beta$,1.8316363,67
8456,17,$\beta$,1.9884069,46
8457,18,$\beta$,1.9586135,24
8458,19,$\beta$,3.0505178,23
8459,20,$\beta$,2.6120014,43
8460,21,$\beta$,2.4436607,64
8461,22,$\beta$,2.4469652,58
8462,23,$\beta$,2.7740653,48
8463,24,$\beta$,2.4696891,29
8464,25,$\beta$,2.153022,45
8465,26,$\beta$,2.245893,28
8466,27,$\beta$,2.2964468,39
8467,28,$\beta$,2.0001888,44
8468,29,$\beta$,2.762838,57
8469,30,$\beta$,2.6662652,35
8470,31,$\beta$,2.3551457,30
8471,32,$\beta$,1.9329188,31
8472,33,$\beta$,1.4890779,61
8473,34,$\beta$,2.6807485,47
8474,35,$\beta$,1.8466418,65
8475,36,$\beta$,2.0943348,52
8476,37,$\beta$,1.9097584,62
8477,38,$\beta$,2.6190166,34
8478,39,$\beta$,2.5344808,60
8479,40,$\beta$,2.3311348,38
8480,1,$\beta$,1.8760482,25
8481,2,$\beta$,3.0078442,32
8482,3,$\beta$,2.9515505,33
8483,4,$\beta$,3.5666435,27
8484,5,$\beta$,3.1835494,51
8485,6,$\beta$,3.488287,55
8486,7,$\beta$,3.2271485,63
8487,8,$\beta$,2.207867,37
8488,9,$\beta$,1.4837903,50
8489,10,$\beta$,2.2039204,42
8490,11,$\beta$,1.6803272,56
8491,12,$\beta$,2.7485614,49
8492,13,$\beta$,1.5989088,40
8493,14,$\beta$,1.004675,54
8494,15,$\beta$,1.9076705,66
8495,16,$\beta$,2.1010675,67
8496,17,$\beta$,2.3460412,46
8497,18,$\beta$,2.027559,24
8498,19,$\beta$,2.482753,23
8499,20,$\beta$,3.141672,43
8500,21,$\beta$,2.7214656,64
8501,22,$\beta$,2.3130953,58
8502,23,$\beta$,3.8134856,48
8503,24,$\beta$,2.986551,29
8504,25,$\beta$,2.2883286,45
8505,26,$\beta$,2.5979598,28
8506,27,$\beta$,1.9782456,39
8507,28,$\beta$,2.759107,44
8508,29,$\beta$,2.9862714,57
8509,30,$\beta$,2.1821563,35
8510,31,$\beta$,2.0911958,30
8511,32,$\beta$,1.5639627,31
8512,33,$\beta$,1.7357231,61
8513,34,$\beta$,2.2751374,47
8514,35,$\beta$,1.9006906,65
8515,36,$\beta$,1.8963534,52
8516,37,$\beta$,2.0830033,62
8517,38,$\beta$,2.5826116,34
8518,39,$\beta$,1.9020083,60
8519,40,$\beta$,2.2622354,38
8520,1,$\beta$,1.4248033,25
8521,2,$\beta$,2.5133343,32
8522,3,$\beta$,2.7022154,33
8523,4,$\beta$,3.034976,27
8524,5,$\beta$,2.6536744,51
8525,6,$\beta$,2.6394928,55
8526,7,$\beta$,4.498136,63
8527,8,$\beta$,1.6116258,37
8528,9,$\beta$,1.5809324,50
8529,10,$\beta$,2.4767332,42
8530,11,$\beta$,1.4569745,56
8531,12,$\beta$,2.3896554,49
8532,13,$\beta$,2.083103,40
8533,14,$\beta$,0.8847864,54
8534,15,$\beta$,1.7891189,66
8535,16,$\beta$,1.8061428,67
8536,17,$\beta$,2.1330094,46
8537,18,$\beta$,1.9220209,24
8538,19,$\beta$,2.836274,23
8539,20,$\beta$,2.6707313,43
8540,21,$\beta$,2.555293,64
8541,22,$\beta$,1.6684717,58
8542,23,$\beta$,2.59626,48
8543,24,$\beta$,2.8681257,29
8544,25,$\beta$,2.2163782,45
8545,26,$\beta$,2.3333082,28
8546,27,$\beta$,2.4372294,39
8547,28,$\beta$,2.0772188,44
8548,29,$\beta$,2.6925166,57
8549,30,$\beta$,1.9924115,35
8550,31,$\beta$,2.8695674,30
8551,32,$\beta$,1.000905,31
8552,33,$\beta$,1.4392809,61
8553,34,$\beta$,2.1871178,47
8554,35,$\beta$,1.9363855,65
8555,36,$\beta$,1.6878556,52
8556,37,$\beta$,2.4267685,62
8557,38,$\beta$,2.211013,34
8558,39,$\beta$,1.5688984,60
8559,40,$\beta$,1.9056135,38
8560,1,$\beta$,2.1523569,25
8561,2,$\beta$,2.3742154,32
8562,3,$\beta$,2.322258,33
8563,4,$\beta$,2.9168727,27
8564,5,$\beta$,2.5649042,51
8565,6,$\beta$,3.480443,55
8566,7,$\beta$,3.4527843,63
8567,8,$\beta$,2.3872445,37
8568,9,$\beta$,1.8724519,50
8569,10,$\beta$,2.3986819,42
8570,11,$\beta$,1.9933945,56
8571,12,$\beta$,2.5590289,49
8572,13,$\beta$,1.6694431,40
8573,14,$\beta$,1.0597278,54
8574,15,$\beta$,2.0746548,66
8575,16,$\beta$,1.8131765,67
8576,17,$\beta$,2.5329797,46
8577,18,$\beta$,2.6257358,24
8578,19,$\beta$,3.1047306,23
8579,20,$\beta$,2.9205027,43
8580,21,$\beta$,2.2891293,64
8581,22,$\beta$,1.8655771,58
8582,23,$\beta$,2.4867775,48
8583,24,$\beta$,2.8887222,29
8584,25,$\beta$,2.8653367,45
8585,26,$\beta$,2.4398634,28
8586,27,$\beta$,2.3524904,39
8587,28,$\beta$,2.9470532,44
8588,29,$\beta$,3.1988142,57
8589,30,$\beta$,2.3082573,35
8590,31,$\beta$,2.1568959,30
8591,32,$\beta$,1.4956933,31
8592,33,$\beta$,1.5030936,61
8593,34,$\beta$,3.137742,47
8594,35,$\beta$,2.0672922,65
8595,36,$\beta$,2.2818081,52
8596,37,$\beta$,2.594972,62
8597,38,$\beta$,3.1424713,34
8598,39,$\beta$,1.4980571,60
8599,40,$\beta$,2.5188792,38
8600,1,$\beta$,1.590931,25
8601,2,$\beta$,2.7223723,32
8602,3,$\beta$,3.1478834,33
8603,4,$\beta$,2.7041788,27
8604,5,$\beta$,3.06755,51
8605,6,$\beta$,3.5889354,55
8606,7,$\beta$,2.5394206,63
8607,8,$\beta$,1.7589517,37
8608,9,$\beta$,1.2217426,50
8609,10,$\beta$,1.9040827,42
8610,11,$\beta$,2.1263025,56
8611,12,$\beta$,2.0203762,49
8612,13,$\beta$,1.4901059,40
8613,14,$\beta$,1.0034138,54
8614,15,$\beta$,2.0337195,66
8615,16,$\beta$,1.740155,67
8616,17,$\beta$,2.0168388,46
8617,18,$\beta$,2.084747,24
8618,19,$\beta$,2.2540803,23
8619,20,$\beta$,2.820718,43
8620,21,$\beta$,2.284056,64
8621,22,$\beta$,2.6105454,58
8622,23,$\beta$,2.8818417,48
8623,24,$\beta$,2.9419775,29
8624,25,$\beta$,2.9551897,45
8625,26,$\beta$,2.8479028,28
8626,27,$\beta$,1.9471976,39
8627,28,$\beta$,2.5809307,44
8628,29,$\beta$,2.3694916,57
8629,30,$\beta$,2.431598,35
8630,31,$\beta$,2.4405134,30
8631,32,$\beta$,1.2416298,31
8632,33,$\beta$,1.4622177,61
8633,34,$\beta$,2.5551686,47
8634,35,$\beta$,2.080595,65
8635,36,$\beta$,1.7737614,52
8636,37,$\beta$,2.3928232,62
8637,38,$\beta$,1.964228,34
8638,39,$\beta$,1.6406474,60
8639,40,$\beta$,1.8032056,38
8640,1,$\beta$,1.898308,25
8641,2,$\beta$,2.4794455,32
8642,3,$\beta$,2.5040553,33
8643,4,$\beta$,2.5435724,27
8644,5,$\beta$,2.609787,51
8645,6,$\beta$,3.0510824,55
8646,7,$\beta$,2.9501042,63
8647,8,$\beta$,1.9779612,37
8648,9,$\beta$,1.654887,50
8649,10,$\beta$,2.3281393,42
8650,11,$\beta$,2.0351307,56
8651,12,$\beta$,1.916119,49
8652,13,$\beta$,2.1698866,40
8653,14,$\beta$,1.3934149,54
8654,15,$\beta$,1.6144705,66
8655,16,$\beta$,2.723639,67
8656,17,$\beta$,2.465928,46
8657,18,$\beta$,2.0217133,24
8658,19,$\beta$,2.562576,23
8659,20,$\beta$,3.827611,43
8660,21,$\beta$,2.7510386,64
8661,22,$\beta$,2.311917,58
8662,23,$\beta$,2.1254625,48
8663,24,$\beta$,3.2687614,29
8664,25,$\beta$,2.1887248,45
8665,26,$\beta$,1.8764658,28
8666,27,$\beta$,2.4101243,39
8667,28,$\beta$,2.1683865,44
8668,29,$\beta$,1.9774796,57
8669,30,$\beta$,1.8978728,35
8670,31,$\beta$,2.6661892,30
8671,32,$\beta$,1.4922147,31
8672,33,$\beta$,1.9075029,61
8673,34,$\beta$,2.8831909,47
8674,35,$\beta$,2.7627647,65
8675,36,$\beta$,2.0778234,52
8676,37,$\beta$,2.1105738,62
8677,38,$\beta$,2.749454,34
8678,39,$\beta$,1.6934766,60
8679,40,$\beta$,2.0792825,38
8680,1,$\beta$,1.6745429,25
8681,2,$\beta$,3.2240677,32
8682,3,$\beta$,2.5493567,33
8683,4,$\beta$,2.4962294,27
8684,5,$\beta$,2.9032712,51
8685,6,$\beta$,2.5997498,55
8686,7,$\beta$,3.0225036,63
8687,8,$\beta$,2.5254292,37
8688,9,$\beta$,2.1140766,50
8689,10,$\beta$,2.5726314,42
8690,11,$\beta$,1.7938294,56
8691,12,$\beta$,2.2920766,49
8692,13,$\beta$,1.6211424,40
8693,14,$\beta$,1.3559185,54
8694,15,$\beta$,1.7696148,66
8695,16,$\beta$,2.128828,67
8696,17,$\beta$,2.1085389,46
8697,18,$\beta$,2.122636,24
8698,19,$\beta$,3.2206202,23
8699,20,$\beta$,3.3798518,43
8700,21,$\beta$,2.574683,64
8701,22,$\beta$,2.24795,58
8702,23,$\beta$,2.4806325,48
8703,24,$\beta$,3.0337634,29
8704,25,$\beta$,1.9438815,45
8705,26,$\beta$,1.8981842,28
8706,27,$\beta$,2.0423894,39
8707,28,$\beta$,2.3645191,44
8708,29,$\beta$,2.1715815,57
8709,30,$\beta$,2.2051103,35
8710,31,$\beta$,2.2065244,30
8711,32,$\beta$,1.7749977,31
8712,33,$\beta$,1.4780624,61
8713,34,$\beta$,2.1799583,47
8714,35,$\beta$,1.9523342,65
8715,36,$\beta$,2.3684714,52
8716,37,$\beta$,2.1856668,62
8717,38,$\beta$,2.3627229,34
8718,39,$\beta$,1.9445056,60
8719,40,$\beta$,1.7170708,38
8720,1,$\beta$,1.5357757,25
8721,2,$\beta$,2.8821952,32
8722,3,$\beta$,2.9157848,33
8723,4,$\beta$,2.65565,27
8724,5,$\beta$,2.8252952,51
8725,6,$\beta$,3.577797,55
8726,7,$\beta$,2.7032623,63
8727,8,$\beta$,2.4326336,37
8728,9,$\beta$,1.8866694,50
8729,10,$\beta$,2.2052093,42
8730,11,$\beta$,1.674314,56
8731,12,$\beta$,2.2565598,49
8732,13,$\beta$,1.8498312,40
8733,14,$\beta$,1.286628,54
8734,15,$\beta$,1.9423442,66
8735,16,$\beta$,2.198584,67
8736,17,$\beta$,2.1757874,46
8737,18,$\beta$,2.7689857,24
8738,19,$\beta$,2.8033094,23
8739,20,$\beta$,3.094439,43
8740,21,$\beta$,1.6496575,64
8741,22,$\beta$,2.1593964,58
8742,23,$\beta$,2.8731003,48
8743,24,$\beta$,2.6999218,29
8744,25,$\beta$,2.409278,45
8745,26,$\beta$,1.972335,28
8746,27,$\beta$,2.1882262,39
8747,28,$\beta$,1.9719601,44
8748,29,$\beta$,2.2513263,57
8749,30,$\beta$,2.3836443,35
8750,31,$\beta$,2.6954126,30
8751,32,$\beta$,1.4944851,31
8752,33,$\beta$,1.6264744,61
8753,34,$\beta$,2.2029347,47
8754,35,$\beta$,2.1444397,65
8755,36,$\beta$,2.227446,52
8756,37,$\beta$,2.0668488,62
8757,38,$\beta$,2.335609,34
8758,39,$\beta$,1.7715354,60
8759,40,$\beta$,1.7820793,38
8760,1,$\beta$,1.9879682,25
8761,2,$\beta$,2.370611,32
8762,3,$\beta$,2.6365275,33
8763,4,$\beta$,2.6587725,27
8764,5,$\beta$,2.3288064,51
8765,6,$\beta$,2.3042004,55
8766,7,$\beta$,2.9323828,63
8767,8,$\beta$,1.7324208,37
8768,9,$\beta$,1.6616892,50
8769,10,$\beta$,2.410416,42
8770,11,$\beta$,1.7788101,56
8771,12,$\beta$,2.6504962,49
8772,13,$\beta$,1.8280374,40
8773,14,$\beta$,1.069061,54
8774,15,$\beta$,2.0474849,66
8775,16,$\beta$,2.0146616,67
8776,17,$\beta$,2.051107,46
8777,18,$\beta$,1.8063842,24
8778,19,$\beta$,2.1717203,23
8779,20,$\beta$,2.977637,43
8780,21,$\beta$,2.121635,64
8781,22,$\beta$,1.9159915,58
8782,23,$\beta$,2.4191663,48
8783,24,$\beta$,2.8514774,29
8784,25,$\beta$,1.8382379,45
8785,26,$\beta$,2.0340605,28
8786,27,$\beta$,2.0733643,39
8787,28,$\beta$,2.1892557,44
8788,29,$\beta$,2.417563,57
8789,30,$\beta$,2.0413833,35
8790,31,$\beta$,2.4043162,30
8791,32,$\beta$,1.5426003,31
8792,33,$\beta$,1.5696391,61
8793,34,$\beta$,2.2336373,47
8794,35,$\beta$,1.9620589,65
8795,36,$\beta$,1.9965259,52
8796,37,$\beta$,1.7911508,62
8797,38,$\beta$,2.960001,34
8798,39,$\beta$,2.2415583,60
8799,40,$\beta$,1.655657,38
8800,1,$\beta$,2.4871347,25
8801,2,$\beta$,3.0595477,32
8802,3,$\beta$,2.7090673,33
8803,4,$\beta$,2.9721854,27
8804,5,$\beta$,2.8196747,51
8805,6,$\beta$,2.5637114,55
8806,7,$\beta$,3.9098701,63
8807,8,$\beta$,1.581893,37
8808,9,$\beta$,2.1179793,50
8809,10,$\beta$,2.2029498,42
8810,11,$\beta$,2.1144445,56
8811,12,$\beta$,1.9578811,49
8812,13,$\beta$,1.3650651,40
8813,14,$\beta$,1.0955863,54
8814,15,$\beta$,1.8293307,66
8815,16,$\beta$,1.8174409,67
8816,17,$\beta$,1.963918,46
8817,18,$\beta$,2.4180048,24
8818,19,$\beta$,2.573908,23
8819,20,$\beta$,3.1294374,43
8820,21,$\beta$,2.332853,64
8821,22,$\beta$,2.1926003,58
8822,23,$\beta$,2.773984,48
8823,24,$\beta$,2.6268654,29
8824,25,$\beta$,2.3631263,45
8825,26,$\beta$,1.9471042,28
8826,27,$\beta$,2.0310538,39
8827,28,$\beta$,1.8972789,44
8828,29,$\beta$,2.2275636,57
8829,30,$\beta$,2.5843308,35
8830,31,$\beta$,2.4565341,30
8831,32,$\beta$,1.2868906,31
8832,33,$\beta$,1.975297,61
8833,34,$\beta$,2.7443874,47
8834,35,$\beta$,2.5116525,65
8835,36,$\beta$,2.5100532,52
8836,37,$\beta$,2.1867301,62
8837,38,$\beta$,2.5321498,34
8838,39,$\beta$,1.5689375,60
8839,40,$\beta$,2.320727,38
8840,1,$\beta$,1.7068762,25
8841,2,$\beta$,2.0048823,32
8842,3,$\beta$,2.6710591,33
8843,4,$\beta$,2.8160796,27
8844,5,$\beta$,2.6264238,51
8845,6,$\beta$,2.9055965,55
8846,7,$\beta$,3.2925384,63
8847,8,$\beta$,2.1540847,37
8848,9,$\beta$,1.7084494,50
8849,10,$\beta$,1.974849,42
8850,11,$\beta$,1.5304967,56
8851,12,$\beta$,2.0524385,49
8852,13,$\beta$,1.6450278,40
8853,14,$\beta$,1.1068792,54
8854,15,$\beta$,1.7468005,66
8855,16,$\beta$,1.7260351,67
8856,17,$\beta$,2.0029726,46
8857,18,$\beta$,2.1928473,24
8858,19,$\beta$,2.4074316,23
8859,20,$\beta$,2.8945005,43
8860,21,$\beta$,2.1936734,64
8861,22,$\beta$,1.8835498,58
8862,23,$\beta$,2.2659938,48
8863,24,$\beta$,2.1966615,29
8864,25,$\beta$,2.243314,45
8865,26,$\beta$,2.5728405,28
8866,27,$\beta$,1.9941136,39
8867,28,$\beta$,1.8421351,44
8868,29,$\beta$,2.991621,57
8869,30,$\beta$,2.5642054,35
8870,31,$\beta$,1.9577404,30
8871,32,$\beta$,1.6962444,31
8872,33,$\beta$,1.5627325,61
8873,34,$\beta$,2.226477,47
8874,35,$\beta$,2.17929,65
8875,36,$\beta$,1.9014695,52
8876,37,$\beta$,2.6148949,62
8877,38,$\beta$,2.4246573,34
8878,39,$\beta$,1.9712033,60
8879,40,$\beta$,2.1046188,38
8880,1,$\beta$,1.9013139,25
8881,2,$\beta$,2.857628,32
8882,3,$\beta$,3.1119392,33
8883,4,$\beta$,2.7831626,27
8884,5,$\beta$,1.958536,51
8885,6,$\beta$,4.3518596,55
8886,7,$\beta$,2.8372154,63
8887,8,$\beta$,1.4756719,37
8888,9,$\beta$,1.8399389,50
8889,10,$\beta$,1.9997605,42
8890,11,$\beta$,1.8338625,56
8891,12,$\beta$,2.4203768,49
8892,13,$\beta$,1.5205635,40
8893,14,$\beta$,1.1267418,54
8894,15,$\beta$,1.8712617,66
8895,16,$\beta$,2.6983783,67
8896,17,$\beta$,1.9463114,46
8897,18,$\beta$,1.8916644,24
8898,19,$\beta$,2.4134998,23
8899,20,$\beta$,2.4348218,43
8900,21,$\beta$,3.3669097,64
8901,22,$\beta$,2.0247338,58
8902,23,$\beta$,3.4163651,48
8903,24,$\beta$,2.5231159,29
8904,25,$\beta$,2.0460973,45
8905,26,$\beta$,1.5558624,28
8906,27,$\beta$,2.9704382,39
8907,28,$\beta$,1.7272785,44
8908,29,$\beta$,2.2782996,57
8909,30,$\beta$,2.046762,35
8910,31,$\beta$,2.295709,30
8911,32,$\beta$,1.5079802,31
8912,33,$\beta$,1.4691592,61
8913,34,$\beta$,2.0590422,47
8914,35,$\beta$,2.0554922,65
8915,36,$\beta$,1.9496425,52
8916,37,$\beta$,2.0514195,62
8917,38,$\beta$,2.8098986,34
8918,39,$\beta$,2.0107522,60
8919,40,$\beta$,1.9063296,38
8920,1,$\beta$,1.4862139,25
8921,2,$\beta$,3.187579,32
8922,3,$\beta$,3.0275161,33
8923,4,$\beta$,2.4460232,27
8924,5,$\beta$,3.0013595,51
8925,6,$\beta$,3.291931,55
8926,7,$\beta$,2.223158,63
8927,8,$\beta$,2.198289,37
8928,9,$\beta$,1.6761702,50
8929,10,$\beta$,1.7123921,42
8930,11,$\beta$,1.5925499,56
8931,12,$\beta$,2.036534,49
8932,13,$\beta$,1.1828852,40
8933,14,$\beta$,0.984233,54
8934,15,$\beta$,2.0731206,66
8935,16,$\beta$,2.4082708,67
8936,17,$\beta$,2.197231,46
8937,18,$\beta$,1.9418573,24
8938,19,$\beta$,2.0327916,23
8939,20,$\beta$,2.9615896,43
8940,21,$\beta$,1.8812842,64
8941,22,$\beta$,2.659119,58
8942,23,$\beta$,2.5347564,48
8943,24,$\beta$,2.8374383,29
8944,25,$\beta$,2.1195335,45
8945,26,$\beta$,2.3668108,28
8946,27,$\beta$,1.9884841,39
8947,28,$\beta$,2.8434482,44
8948,29,$\beta$,2.5732439,57
8949,30,$\beta$,1.8243272,35
8950,31,$\beta$,2.666993,30
8951,32,$\beta$,1.1899191,31
8952,33,$\beta$,1.6401426,61
8953,34,$\beta$,1.9259729,47
8954,35,$\beta$,1.9232111,65
8955,36,$\beta$,2.2554502,52
8956,37,$\beta$,1.7109753,62
8957,38,$\beta$,2.4216356,34
8958,39,$\beta$,1.8168862,60
8959,40,$\beta$,2.0110843,38
8960,1,$\beta$,1.7496684,25
8961,2,$\beta$,2.7339792,32
8962,3,$\beta$,2.442993,33
8963,4,$\beta$,3.3208237,27
8964,5,$\beta$,2.505256,51
8965,6,$\beta$,3.2198098,55
8966,7,$\beta$,3.3740654,63
8967,8,$\beta$,1.9668776,37
8968,9,$\beta$,2.026614,50
8969,10,$\beta$,2.6522133,42
8970,11,$\beta$,1.9997945,56
8971,12,$\beta$,2.214346,49
8972,13,$\beta$,2.0044112,40
8973,14,$\beta$,1.3462603,54
8974,15,$\beta$,2.040527,66
8975,16,$\beta$,2.3222144,67
8976,17,$\beta$,2.227486,46
8977,18,$\beta$,2.082886,24
8978,19,$\beta$,3.2869623,23
8979,20,$\beta$,2.4766517,43
8980,21,$\beta$,1.9244168,64
8981,22,$\beta$,2.353264,58
8982,23,$\beta$,2.3163488,48
8983,24,$\beta$,2.523607,29
8984,25,$\beta$,2.4476426,45
8985,26,$\beta$,2.075732,28
8986,27,$\beta$,2.9655032,39
8987,28,$\beta$,2.1692522,44
8988,29,$\beta$,2.5117085,57
8989,30,$\beta$,2.4663072,35
8990,31,$\beta$,2.0394278,30
8991,32,$\beta$,1.8341631,31
8992,33,$\beta$,2.336383,61
8993,34,$\beta$,2.0886893,47
8994,35,$\beta$,2.3234591,65
8995,36,$\beta$,2.1064975,52
8996,37,$\beta$,2.1314843,62
8997,38,$\beta$,2.4106615,34
8998,39,$\beta$,1.7742909,60
8999,40,$\beta$,1.9908066,38
9000,1,$\beta$,1.709063,25
9001,2,$\beta$,2.2363408,32
9002,3,$\beta$,2.881942,33
9003,4,$\beta$,2.4059584,27
9004,5,$\beta$,2.5349464,51
9005,6,$\beta$,3.124015,55
9006,7,$\beta$,2.7606745,63
9007,8,$\beta$,2.4511213,37
9008,9,$\beta$,1.9444865,50
9009,10,$\beta$,2.1906552,42
9010,11,$\beta$,2.0081463,56
9011,12,$\beta$,2.2715974,49
9012,13,$\beta$,2.3053536,40
9013,14,$\beta$,1.4830523,54
9014,15,$\beta$,1.7376021,66
9015,16,$\beta$,2.0730782,67
9016,17,$\beta$,2.3710392,46
9017,18,$\beta$,2.4609628,24
9018,19,$\beta$,2.7174923,23
9019,20,$\beta$,2.793563,43
9020,21,$\beta$,2.3925216,64
9021,22,$\beta$,2.1554267,58
9022,23,$\beta$,2.90991,48
9023,24,$\beta$,2.6880383,29
9024,25,$\beta$,3.202795,45
9025,26,$\beta$,2.3292692,28
9026,27,$\beta$,2.077984,39
9027,28,$\beta$,1.760986,44
9028,29,$\beta$,2.2916546,57
9029,30,$\beta$,1.9708308,35
9030,31,$\beta$,2.3649406,30
9031,32,$\beta$,1.7242496,31
9032,33,$\beta$,1.6762152,61
9033,34,$\beta$,2.2259037,47
9034,35,$\beta$,2.2961938,65
9035,36,$\beta$,2.3333611,52
9036,37,$\beta$,2.1729124,62
9037,38,$\beta$,2.9632921,34
9038,39,$\beta$,2.1532044,60
9039,40,$\beta$,2.22143,38
9040,1,$\beta$,1.3971483,25
9041,2,$\beta$,2.223185,32
9042,3,$\beta$,2.8621233,33
9043,4,$\beta$,2.2908862,27
9044,5,$\beta$,2.7068572,51
9045,6,$\beta$,3.4599986,55
9046,7,$\beta$,3.4626136,63
9047,8,$\beta$,1.7618055,37
9048,9,$\beta$,1.4556407,50
9049,10,$\beta$,2.091692,42
9050,11,$\beta$,2.0068588,56
9051,12,$\beta$,1.96539,49
9052,13,$\beta$,1.7053177,40
9053,14,$\beta$,1.5581182,54
9054,15,$\beta$,1.8679111,66
9055,16,$\beta$,2.370048,67
9056,17,$\beta$,1.9493607,46
9057,18,$\beta$,2.1127164,24
9058,19,$\beta$,2.299241,23
9059,20,$\beta$,3.3251307,43
9060,21,$\beta$,2.1777935,64
9061,22,$\beta$,2.0897765,58
9062,23,$\beta$,2.2305074,48
9063,24,$\beta$,2.3923807,29
9064,25,$\beta$,2.238341,45
9065,26,$\beta$,1.8069636,28
9066,27,$\beta$,2.8443995,39
9067,28,$\beta$,2.805106,44
9068,29,$\beta$,2.482738,57
9069,30,$\beta$,2.1629407,35
9070,31,$\beta$,1.8745453,30
9071,32,$\beta$,1.933749,31
9072,33,$\beta$,1.2847801,61
9073,34,$\beta$,2.6913376,47
9074,35,$\beta$,2.0149534,65
9075,36,$\beta$,1.9064965,52
9076,37,$\beta$,2.167957,62
9077,38,$\beta$,2.0676458,34
9078,39,$\beta$,2.001593,60
9079,40,$\beta$,2.1225975,38
9080,1,$\beta$,1.8509005,25
9081,2,$\beta$,3.1694295,32
9082,3,$\beta$,2.99916,33
9083,4,$\beta$,2.6021683,27
9084,5,$\beta$,3.0342839,51
9085,6,$\beta$,3.233081,55
9086,7,$\beta$,3.2958868,63
9087,8,$\beta$,2.1794496,37
9088,9,$\beta$,1.6509405,50
9089,10,$\beta$,2.2145712,42
9090,11,$\beta$,1.5776923,56
9091,12,$\beta$,2.3963919,49
9092,13,$\beta$,1.300149,40
9093,14,$\beta$,0.91658527,54
9094,15,$\beta$,1.6985729,66
9095,16,$\beta$,2.3645482,67
9096,17,$\beta$,2.1525388,46
9097,18,$\beta$,2.5436187,24
9098,19,$\beta$,2.6510162,23
9099,20,$\beta$,3.007268,43
9100,21,$\beta$,2.2939932,64
9101,22,$\beta$,2.433515,58
9102,23,$\beta$,2.823509,48
9103,24,$\beta$,3.108684,29
9104,25,$\beta$,2.2466683,45
9105,26,$\beta$,2.4346485,28
9106,27,$\beta$,2.6949368,39
9107,28,$\beta$,2.0426383,44
9108,29,$\beta$,2.1074514,57
9109,30,$\beta$,2.3324397,35
9110,31,$\beta$,2.8652787,30
9111,32,$\beta$,1.3453219,31
9112,33,$\beta$,1.3795141,61
9113,34,$\beta$,3.2851353,47
9114,35,$\beta$,1.9390421,65
9115,36,$\beta$,2.1996825,52
9116,37,$\beta$,2.239601,62
9117,38,$\beta$,2.6378539,34
9118,39,$\beta$,1.4727578,60
9119,40,$\beta$,2.1809795,38
9120,1,$\beta$,1.5078459,25
9121,2,$\beta$,2.9890282,32
9122,3,$\beta$,4.1862574,33
9123,4,$\beta$,2.9393983,27
9124,5,$\beta$,2.289458,51
9125,6,$\beta$,4.578697,55
9126,7,$\beta$,3.7817247,63
9127,8,$\beta$,1.4174287,37
9128,9,$\beta$,1.2837968,50
9129,10,$\beta$,2.0716903,42
9130,11,$\beta$,1.8376404,56
9131,12,$\beta$,1.80462,49
